timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1718391600,Jun 14 2024 - 7:00pm,complete,N/A,Germany,Scotland,Clément Turpin,1,0.00,0.00,2.00,0.33,5,1,6,3,3,0,"10,19,45'1,68,90'3","87",5,0,2,0,1,1,1,1,1,1,21,2,11,0,5,2,15,9,73,27,0.00,0.00,2.34,0.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.29,6.00,9.00,1.20,1.67,2.62,4.60,2.20,1.62,Fußball Arena München (München)
1718456400,Jun 15 2024 - 1:00pm,complete,N/A,Hungary,Switzerland,Slavko Vinčić,1,0.00,0.00,1.00,1.80,1,3,4,2,0,2,"66","12,45,90'3",2,6,2,0,2,0,0,2,1,1,7,16,3,8,3,3,9,13,50,50,0.00,0.00,0.87,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.30,3.30,2.25,1.44,2.20,4.40,10.50,1.91,1.80,Cologne Stadium (Köln)
1718467200,Jun 15 2024 - 4:00pm,complete,68844,Spain,Croatia,Michael Oliver,1,0.00,0.00,3.00,0.67,3,0,3,3,3,0,"29,32,45'2","",5,0,1,0,0,0,0,1,0,0,12,17,6,6,3,8,14,13,46,54,0.00,0.00,1.27,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.40,4.33,1.35,2.10,3.64,7.10,1.91,1.80,Olympiastadion Berlin (Berlin)
1718478000,Jun 15 2024 - 7:00pm,complete,60512,Italy,Albania,Felix Zwayer,1,0.00,0.00,1.00,0.33,2,1,3,3,2,1,"11,16","1",5,3,2,0,2,0,1,1,0,2,18,9,6,2,5,5,7,7,68,32,0.00,0.00,1.66,0.65,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.50,8.50,1.38,2.00,3.55,8.40,2.38,1.53,BVB Stadion Dortmund (Dortmund)
1718542800,Jun 16 2024 - 1:00pm,complete,N/A,Poland,Netherlands,Artur Manuel Ribeiro Soares Dias,1,0.00,0.00,0.33,1.67,1,2,3,2,1,1,"16","29,83",3,6,0,0,1,0,0,0,1,0,13,22,8,5,4,14,10,8,33,67,0.00,0.00,1.62,2.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.75,4.20,1.55,1.30,2.00,3.34,6.35,2.00,1.73,Volksparkstadion (Hamburg)
1718553600,Jun 16 2024 - 4:00pm,complete,54000,Slovenia,Denmark,Sandro Schärer,1,0.00,0.00,1.00,0.75,1,1,2,1,0,1,"77","17",5,9,2,0,1,0,0,2,0,1,12,17,3,5,7,6,12,9,32,68,0.00,0.00,1.02,1.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.25,3.50,1.73,1.41,2.20,4.30,8.80,2.00,1.73,Stuttgart Arena (Stuttgart)
1718564400,Jun 16 2024 - 7:00pm,complete,48953,Serbia,England,Daniele Orsato,1,0.00,0.00,0.67,1.71,0,1,1,1,0,1,"","13",2,1,2,0,0,0,1,1,0,0,7,6,2,4,2,1,19,8,47,53,0.00,0.00,0.73,0.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.50,4.75,1.45,1.31,1.91,3.30,6.80,2.00,1.73,Arena AufSchalke (Gelsenkirchen)
1718629200,Jun 17 2024 - 1:00pm,complete,N/A,Romania,Ukraine,Glenn Nyberg,1,0.00,0.00,1.00,1.33,3,0,3,1,1,0,"29,53,57","",4,8,1,0,1,0,0,1,0,1,10,14,6,3,2,5,9,8,29,71,0.00,0.00,1.09,1.18,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.50,2.00,1.43,2.20,4.30,9.40,1.91,1.80,Fußball Arena München (München)
1718640000,Jun 17 2024 - 4:00pm,complete,N/A,Belgium,Slovakia,Halil Umut Meler,1,0.00,0.00,1.00,1.00,0,1,1,1,0,1,"","7",5,7,3,0,1,0,1,2,1,0,18,11,7,5,6,4,14,10,60,40,0.00,0.00,1.62,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.48,4.33,7.00,1.28,1.80,3.10,5.80,1.83,1.83,Frankfurt Arena (Frankfurt am Main)
1718650800,Jun 17 2024 - 7:00pm,complete,46425,Austria,France,Jesús Gil Manzano,1,0.00,0.00,1.50,1.50,0,1,1,1,0,1,"","38",6,2,5,0,2,0,2,3,0,2,8,15,4,4,3,6,18,10,51,49,0.00,0.00,1.08,1.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.50,4.33,1.55,1.21,1.73,2.62,4.80,1.80,1.91,Düsseldorf Arena (Düsseldorf)
