team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Czech Republic National Team,Czech Republic,2024,Czech Republic,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,21,3,5,-2,8,3,5,1,2,2,3,-1,-1,90,90,90,54,45,60,0,0,0,3,1,2,0,0,0,1,0,1,14,3,11,15,9,6,40,32,44,36,11,25,23,8,15,13,3,10,42,16,26,0,0,0,1,0,1,-1,0,-1,0,0,0,2,1,1,1,0,1,0.67,1,0.5,2.67,3,2.5,1,1,1,1.67,2,1.5,0.33,0,0.5,0,0,0,0.33,0,0.5,3,3,2,0,0,0,1,1,1,0,0,0,2,2,1,0,0,0,0,0,1,3,3,3,0,0,0,1,1,1,0,0,1,2,2,2,100,100,67,0,0,0,100,100,100,0,0,0,100,100,50,0,0,0,0,0,33,100,100,100,0,0,0,100,100,100,0,0,50,100,100,100,1,0,0,0,0,0,1,0,0,33,0,0,0,0,0,50,0,0,0,0,0,-10,0,0,0,100,100,100,0,0,0,33,0,50,2,1,1,67,100,50,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,67,100,50,33,0,50,4.67,3.00,5.50,5,9,3.00,100,100,100,100,67,67,67,33,1.68,1.52,1.76,1.48,1.55,1.44,33,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,2,33,0,50,67,100,50,33
Switzerland National Team,Switzerland,2024,Switzerland,5,2,3,0,2,1,1,3,1,2,0,0,0,1.8,2,1.67,2,0,0,6,8,4,4,12,4,8,3,5,1,3,2,2,56,60,54,113,180,90,1,1,0,4,1,3,0,0,0,4,2,2,22,6,16,9,3,6,47,42,50,47,15,32,26,9,17,21,6,15,60,23,37,5,2,3,1,0,1,4,2,2,3,2,1,2,0,2,0,0,0,2.2,3,1.67,2.4,2,2.67,1.6,1.5,1.67,0.8,0.5,1,1.2,1,1.33,1,1,1,0.2,0,0.33,5,5,1,1,0,0,2,2,0,0,0,0,3,3,1,1,0,0,0,0,4,4,5,5,0,0,2,2,2,2,0,0,2,2,3,3,100,100,20,20,0,0,100,100,0,0,0,0,100,100,33,33,0,0,0,0,80,80,100,100,0,0,100,100,100,100,0,0,67,67,100,100,4,2,0,2,0,0,2,2,0,80,40,0,100,0,0,67,67,0,40,50,33,16,20,50,0,80,50,100,0,0,0,80,100,67,4,2,2,80,100,67,1,0,1,20,0,33,1,0,1,20,0,33,60,100,33,40,0,67,0,0,0,4.40,3.00,5.33,1.8,1.5,2.00,80,80,60,60,40,20,20,0,1.31,1.12,1.43,1.20,1.35,1.10,60,0,1,2,1,2,0,0,1,1,0,1,0,0,0,0,1,1,1,60,50,67,0,0,0,0
Serbia National Team,Serbia,2024,Serbia,3,1,2,0,0,0,0,2,0,2,1,1,0,0.67,0,1,4,0,0,20,1,2,-1,3,1,2,0,1,1,1,-1,0,273,0,180,134,90,180,1,0,1,1,0,1,2,1,1,0,0,0,13,2,11,8,2,6,52,47,54,17,4,13,9,2,7,8,2,6,32,19,13,0,0,0,1,1,0,-1,-1,0,0,0,0,2,0,2,1,1,0,0.67,0,1,1,1,1,0.33,0,0.5,0.67,1,0.5,0.33,1,0,0,0,0,0.33,1,0,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,2,3,3,3,3,0,1,1,1,1,1,1,1,2,2,2,2,67,33,0,0,0,0,100,0,0,0,0,0,50,50,0,0,0,0,33,67,100,100,100,100,0,100,100,100,100,100,50,50,100,100,100,100,1,0,0,1,0,0,0,0,0,33,0,0,100,0,0,0,0,0,0,0,0,-75,33,0,50,33,0,50,67,100,50,0,0,0,2,0,2,67,0,100,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,67,0,100,33,100,0,4.33,2.00,5.50,2.67,2,3.00,67,67,67,67,33,33,33,0,0.92,0.73,1.02,1.11,0.87,1.23,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,67,0,100,33,100,0,0
Austria National Team,Austria,2024,Austria,4,2,2,0,2,0,2,0,0,0,2,2,0,1.5,0,3,1,0,0,9,7,6,1,13,4,9,1,6,3,3,-2,3,51,180,30,60,60,60,0,0,0,3,1,2,1,1,0,2,0,2,21,16,5,12,7,5,53,56,50,41,22,19,26,10,16,15,12,3,61,30,31,2,0,2,3,2,1,-1,-2,1,1,0,1,1,0,1,2,2,0,1,0,2,3.25,2,4.5,1.75,0.5,3,1.5,1.5,1.5,1.25,1,1.5,0.5,0,1,0.75,1,0.5,4,3,3,2,1,0,2,1,1,0,0,0,2,2,2,2,1,0,0,1,1,2,3,4,0,1,1,2,2,2,0,0,0,0,1,2,100,75,75,50,25,0,100,50,50,0,0,0,100,100,100,100,50,0,0,25,25,50,75,100,0,50,50,100,100,100,0,0,0,0,50,100,4,1,0,2,0,0,2,1,0,100,25,0,100,0,0,100,50,0,50,0,100,0,0,0,0,75,50,100,25,50,0,50,0,100,1,0,1,25,0,50,2,2,0,50,100,0,1,0,1,25,0,50,25,0,50,25,0,50,50,100,0,5.25,8.00,2.50,3,3.5,2.50,100,50,25,25,25,25,25,25,1.50,1.54,1.45,1.08,1.06,1.10,75,2,0,0,0,0,1,2,2,0,1,0,1,1,1,1,0,1,0,0,0,0,50,100,0,0
Spain National Team,Spain,2024,Spain,7,6,1,0,7,6,1,0,0,0,0,0,0,3,3,3,1,0,0,1,15,4,11,19,18,1,14,1,4,0,10,1,42,39,90,158,134,0,3,2,1,4,4,0,0,0,0,5,4,1,43,37,6,16,15,1,58,58,59,98,85,13,51,47,4,47,38,9,94,79,15,7,6,1,2,2,0,5,4,1,3,2,1,4,4,0,0,0,0,1.86,1.67,3,2.71,3,1,2.14,2.33,1,0.57,0.67,0,1.29,1.33,1,1,1,1,0.29,0.33,0,7,5,5,1,1,0,6,5,5,1,1,0,1,0,0,0,0,0,0,2,2,6,6,7,0,1,1,5,5,6,0,1,1,1,1,1,100,71,71,14,14,0,100,83,83,17,17,0,100,0,0,0,0,0,0,29,29,86,86,100,0,17,17,83,83,100,0,100,100,100,100,100,4,3,2,3,3,2,1,0,0,57,43,29,50,50,33,100,0,0,100,100,100,-5,43,33,100,57,67,0,0,0,0,71,67,100,5,4,1,71,67,100,3,3,0,43,50,0,2,2,0,29,33,0,43,33,100,57,67,0,0,0,0,6.14,6.17,6.00,2.29,2.5,1.00,71,56,43,43,28,28,14,14,1.86,1.90,1.60,1.13,1.13,1.14,86,0,1,3,2,2,3,0,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,14
Portugal National Team,Portugal,2024,Portugal,5,3,2,0,2,1,1,2,2,0,1,0,1,1.6,1.67,1.5,1,0,0,8,5,3,2,8,3,5,2,3,1,2,1,1,90,134,60,150,273,90,3,2,1,1,1,0,3,2,1,1,0,1,42,30,12,9,4,5,67,69,65,66,39,27,31,21,10,35,18,17,41,22,19,2,0,2,1,0,1,1,0,1,1,0,1,3,3,0,1,0,1,1.2,1,1.5,1.6,1,2.5,1,0.67,1.5,0.6,0.33,1,0.6,0,1.5,0.4,0,1,0.2,0,0.5,3,3,2,0,0,0,1,1,1,0,0,0,2,2,1,0,0,0,2,2,3,5,5,5,2,2,2,3,3,3,0,0,1,2,2,2,60,60,40,0,0,0,33,33,33,0,0,0,100,100,50,0,0,0,40,40,60,100,100,100,67,67,67,100,100,100,0,0,50,100,100,100,2,1,0,0,0,0,2,1,0,40,20,0,0,0,0,100,50,0,40,33,50,6,60,67,50,20,33,0,60,67,50,20,0,50,4,3,1,80,100,50,4,3,1,80,100,50,0,0,0,0,0,0,20,0,50,60,100,0,20,0,50,8.40,10.00,6.00,1.8,1.33,2.50,100,100,100,100,60,60,40,0,1.80,1.82,1.78,1.06,1.11,0.99,20,0,0,2,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,40,67,0,20,0,50,0
Romania National Team,Romania,2024,Romania,4,2,2,0,1,1,0,1,0,1,2,1,1,1,1.5,0.5,2,0,0,10,4,6,-2,10,6,4,3,1,3,3,0,-2,90,60,180,60,60,60,1,1,0,1,0,1,2,1,1,1,1,0,16,8,8,8,3,5,38,32,44,36,13,23,20,8,12,16,5,11,38,17,21,2,1,1,3,1,2,-1,0,-1,1,1,0,1,0,1,2,1,1,1,1.5,0.5,2.5,3,2,1,1.5,0.5,1.5,1.5,1.5,1.25,1,1.5,0.5,0.5,0.5,0.75,0.5,1,4,4,2,0,0,0,2,2,2,0,0,0,2,2,0,0,0,0,0,0,2,4,4,4,0,0,0,2,2,2,0,0,2,2,2,2,100,100,50,0,0,0,100,100,100,0,0,0,100,100,0,0,0,0,0,0,50,100,100,100,0,0,0,100,100,100,0,0,100,100,100,100,4,1,0,2,0,0,2,1,0,100,25,0,100,0,0,100,50,0,25,50,0,0,25,50,0,25,0,50,50,50,50,25,50,0,1,1,0,25,50,0,2,1,1,50,50,50,1,0,1,25,0,50,25,50,0,25,0,50,50,50,50,4.00,4.00,4.00,2,1.5,2.50,75,75,75,75,75,75,50,50,1.14,0.88,1.41,1.72,1.67,1.76,50,0,0,1,1,0,2,0,0,0,1,1,1,0,0,0,0,1,2,25,0,50,50,50,50,25
Slovenia National Team,Slovenia,2024,Slovenia,4,2,2,0,0,0,0,4,2,2,0,0,0,1,1,1,3,0,0,16,2,2,0,4,4,0,2,0,2,0,0,0,180,90,0,180,90,0,2,0,2,2,2,0,2,0,2,1,1,0,12,9,3,11,4,7,31,36,26,32,19,13,13,8,5,19,11,8,51,25,26,0,0,0,1,1,0,-1,-1,0,0,0,0,3,1,2,1,1,0,0.75,0.5,1,1,2,0,0.5,1,0,0.5,1,0,0.25,0.5,0,0,0,0,0.25,0.5,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,0,0,2,2,2,2,2,2,2,2,2,2,50,50,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,50,50,100,100,100,100,0,0,100,100,100,100,100,100,100,100,100,100,1,0,0,1,0,0,0,0,0,25,0,0,50,0,0,0,0,0,0,0,0,0,50,0,100,50,100,0,50,0,100,25,50,0,3,1,2,75,50,100,4,2,2,100,100,100,0,0,0,0,0,0,0,0,0,75,50,100,25,50,0,3.00,4.50,1.50,2.75,2,3.50,75,75,75,75,50,50,50,25,0.92,1.12,0.72,1.56,1.42,1.69,25,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,100,100,100,0,0,0,0
Germany National Team,Germany,2024,Germany,5,3,2,0,3,3,0,1,0,1,1,0,1,2,3,0.5,1,0,0,4,11,4,7,15,10,5,9,2,1,3,8,-1,41,30,90,113,273,60,2,2,0,3,1,2,0,0,0,3,3,0,35,22,13,13,4,9,62,64,59,75,44,31,39,29,10,36,15,21,68,34,34,4,4,0,1,0,1,3,4,-1,2,2,0,2,1,1,1,0,1,1.6,2.33,0.5,3,3.33,2.5,2.2,3,1,0.8,0.33,1.5,1,1.33,0.5,0.8,1.33,0,0.2,0,0.5,5,5,2,1,1,1,3,3,1,1,1,1,2,2,1,0,0,0,0,0,3,4,4,4,0,0,2,2,2,2,0,0,1,2,2,2,100,100,40,20,20,20,100,100,33,33,33,33,100,100,50,0,0,0,0,0,60,80,80,80,0,0,67,67,67,67,0,0,50,100,100,100,3,1,1,2,1,1,1,0,0,60,20,20,67,33,33,50,0,0,60,100,0,48,40,67,0,60,33,100,0,0,0,60,100,0,4,3,1,80,100,50,3,1,2,60,33,100,0,0,0,0,0,0,40,67,0,40,33,50,20,0,50,7.00,7.33,6.50,2.6,1.33,4.50,60,60,60,60,60,40,20,20,1.99,2.12,1.80,0.97,0.76,1.29,20,1,1,1,0,1,1,3,0,3,0,0,1,0,0,1,0,0,1,20,0,50,20,0,50,20
England National Team,England,2024,England,7,3,4,0,3,1,2,3,2,1,1,0,1,1.71,1.67,1.75,1,0,0,2,8,6,2,14,5,9,3,5,2,4,1,1,79,90,72,105,134,90,2,1,1,5,2,3,1,1,0,2,0,2,23,18,5,14,7,7,55,64,49,57,25,32,32,12,20,25,13,12,55,31,24,3,0,3,3,1,2,0,-1,1,1,0,1,5,2,3,1,1,0,1.14,0.67,1.5,2,1.67,2.25,1.14,1,1.25,0.86,0.67,1,0.86,0.33,1.25,0.43,0,0.75,0.43,0.33,0.5,6,5,3,0,0,0,2,2,1,0,0,0,4,3,2,0,0,0,1,2,4,7,7,7,1,1,2,3,3,3,0,1,2,4,4,4,86,71,43,0,0,0,67,67,33,0,0,0,100,75,50,0,0,0,14,29,57,100,100,100,33,33,67,100,100,100,0,25,50,100,100,100,4,2,0,1,0,0,3,2,0,57,29,0,33,0,0,75,50,0,43,33,50,5,29,33,25,71,67,75,14,33,0,29,0,50,4,2,2,57,67,50,4,3,1,57,100,25,2,0,2,29,0,50,14,0,25,71,67,75,14,33,0,3.29,6.00,1.25,2,2.33,1.75,28,28,28,14,14,14,0,0,1.25,1.38,1.16,1.13,0.98,1.24,57,0,3,0,0,0,0,0,2,2,1,0,1,1,1,0,0,1,1,43,67,25,14,0,25,0
