date,total_count
2018-08-29,1070457
2018-08-17,969774
2018-08-28,917199
2018-08-27,824589
2018-08-30,802170
2018-08-19,786225
2018-08-18,741180
2018-08-16,734475
2018-08-31,723624
2018-08-15,673455
2018-08-20,660501
2018-08-24,652101
2018-08-21,575985
2018-08-22,535986
2018-08-23,527955
2018-08-25,512100
2018-08-26,507894
2018-06-24,431587
2018-07-23,423031
2018-06-26,376955
2018-08-07,371379
2018-06-30,366449
2018-07-05,356686
2018-09-01,352097
2018-07-21,350180
2018-07-04,344027
2018-06-28,343589
2018-06-11,339491
2018-07-06,335221
2018-07-03,335109
2018-08-08,333247
2018-02-20,324470
2018-07-17,322120
2018-07-29,311292
2018-06-29,309112
2018-06-25,308840
2018-07-15,307741
2018-07-11,303306
2018-06-07,300769
2018-09-02,300202
2018-02-21,299561
2018-07-12,295728
2018-07-28,293881
2018-07-16,292019
2018-07-27,289804
2018-07-31,284487
2018-08-06,280849
2018-08-09,275916
2018-07-02,264261
2018-08-12,261422
2018-05-15,259896
2018-07-14,259669
2018-08-10,258065
2018-07-01,254882
2018-07-30,251263
2018-06-09,251012
2018-06-02,247619
2018-08-11,244176
2018-04-14,243349
2018-07-26,239530
2018-06-12,238734
2018-07-22,237731
2018-07-18,236326
2018-06-10,235469
2018-06-08,233291
2018-05-20,231045
2018-05-03,229274
2018-06-13,227077
2018-02-07,223377
2018-07-20,217481
2018-06-06,215461
2018-06-14,215058
2018-07-13,214491
2018-06-01,213761
2018-09-06,210066
2018-07-10,208999
2018-06-27,205819
2018-08-14,200209
2018-01-22,199079
2018-05-23,198804
2018-07-19,197926
2018-06-15,195453
2018-07-07,195316
2018-05-31,194989
2018-05-18,194340
2018-02-24,193864
2018-06-04,192277
2018-06-03,192262
2018-06-23,191925
2018-08-13,191659
2018-08-02,191317
2018-07-25,190949
2018-05-21,190708
2018-08-03,189840
2018-09-03,189523
2018-05-17,188118
2018-07-24,187794
2018-02-22,187572
2018-05-28,185935
2018-06-17,185714
2018-05-14,184833
2018-08-05,182854
2018-06-16,179871
2018-05-16,179085
2018-05-24,177223
2018-08-04,174558
2018-04-10,170810
2018-07-08,166125
2018-05-27,165755
2018-01-08,161853
2018-05-25,160582
2018-05-19,156968
2018-05-29,154133
2018-08-01,154094
2018-07-09,153025
2018-03-20,151713
2018-05-26,150918
2018-04-07,148311
2018-05-30,143493
2018-01-27,135321
2018-02-11,135199
2018-02-23,131531
2018-04-15,127390
2018-06-18,127199
2018-10-09,125137
2018-05-22,123688
2018-02-25,122160
2018-09-07,122145
2018-05-02,121126
2018-06-05,120289
2018-09-04,115489
2018-02-06,115248
2018-10-06,113634
2018-09-05,110223
2018-09-27,109998
2018-09-26,108095
2018-09-21,106301
2018-04-03,101112
2018-09-10,97727
2018-09-20,96829
2018-10-08,95615
2018-10-07,95037
2018-11-01,94098
2018-09-29,92173
2018-03-29,90472
2018-09-30,89675
2018-02-19,88040
2018-09-08,87527
2018-09-22,86906
2018-03-11,86874
2018-09-17,84183
2018-04-25,84107
2018-05-10,78850
2018-04-13,77456
2018-03-28,74157
2018-04-04,72389
2018-09-15,72002
2018-03-19,70851
2018-09-28,69420
2018-05-11,69404
2018-09-25,69397
2018-09-11,68961
2018-09-13,68405
2018-02-10,67901
2018-09-09,67899
2018-10-01,67523
2018-10-04,64895
2018-10-13,63983
2018-05-01,63662
2018-03-10,62868
2018-05-12,62684
2018-03-21,62407
2018-05-04,62018
2018-09-24,60633
2018-04-27,59751
2018-09-16,58176
2018-05-13,57524
2018-12-27,56898
2018-10-02,48748
2018-10-03,48374
2018-04-11,47069
2018-09-12,46714
2018-04-06,46567
2018-12-14,46002
2018-01-13,45945
2018-04-24,45236
2018-04-08,45208
2018-12-03,44817
2018-01-23,44568
2018-05-09,44099
2018-01-09,43477
2018-10-31,43418
2018-09-14,43391
2018-02-27,43092
2018-05-06,42418
2018-01-11,42160
2018-10-05,41496
2018-04-22,41134
2018-10-15,40332
2018-11-02,40132
2018-03-18,39038
2018-04-26,38667
2018-05-08,36982
2018-11-12,35289
2018-11-07,34976
2018-10-10,34870
2018-09-23,34179
2018-04-23,34015
2018-01-12,32868
2018-12-20,32123
